Metric,betas_nonzero10_cand0,betas_nonzero10_cand1,betas_nonzero10_cand2,betas_nonzero10_cand3,betas_nonzero6_cand0,betas_nonzero6_cand1,betas_nonzero6_cand2,betas_nonzero6_cand3,betas_nonzero8_cand0,betas_nonzero8_cand1,betas_nonzero8_cand2,betas_nonzero8_cand3
mean relative error,0.03434423600341805,0.028146454881363095,0.03961661131162225,0.028146454881363095,0.1560401607314829,0.1611828991706897,0.14765870445874021,0.1611828991706897,0.07456248706467541,0.06741174261438926,0.08132715035957974,0.06741174261438926
median relative error,0.03434423600341805,0.028146454881363095,0.03961661131162225,0.028146454881363095,0.1560401607314829,0.1611828991706897,0.14765870445874021,0.1611828991706897,0.07456248706467541,0.06741174261438926,0.08132715035957974,0.06741174261438926
Thermochemistry mean relative error,0.03434423600341805,0.028146454881363095,0.03961661131162225,0.028146454881363095,0.1560401607314829,0.1611828991706897,0.14765870445874021,0.1611828991706897,0.07456248706467541,0.06741174261438926,0.08132715035957974,0.06741174261438926
99590 max diff,2.5004942640869573e-05,5.012853951552883e-06,0.00044559751100425497,5.012853951552883e-06,0.0001367700364376686,0.00010840890604245646,2.922241962258546e-05,0.00010840890604245646,1.2047226098538416e-05,7.428556386795665e-06,6.956719389166819e-05,7.428556386795665e-06
99590 Percentage diff > 0.015 kcal/mol,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
99590 count diff > 0.015 kcal/mol,0,0,0,0,0,0,0,0,0,0,0,0
99590 count diff > 0.1 kcal/mol,0,0,0,0,0,0,0,0,0,0,0,0
99590 count diff > 0.5 kcal/mol,0,0,0,0,0,0,0,0,0,0,0,0
75302 max diff,0.0031355676067138603,0.0017359587929370896,0.049870867463138034,0.0017359587929370896,0.02014439357994707,0.022787795697979688,0.0027849905367393745,0.022787795697979688,0.000967634274318109,0.0011699190916289997,0.0020504452303386745,0.0011699190916289997
75302 median diff,0.0006946896177369452,0.00010191784947256893,0.005361649618043065,0.00010191784947256893,0.0025039559034402844,0.002272065342732465,0.00020148274413637422,0.002272065342732465,0.00016899317390785338,0.00040182790972857773,0.0007814280363400395,0.00040182790972857773
75302 Percentage diff > 0.015 kcal/mol,0.00%,0.00%,38.89%,0.00%,11.11%,5.56%,0.00%,5.56%,0.00%,0.00%,0.00%,0.00%
75302 count diff > 0.015 kcal/mol,0,0,7,0,2,1,0,1,0,0,0,0
75302 count diff > 0.1 kcal/mol,0,0,0,0,0,0,0,0,0,0,0,0
75302 count diff > 0.5 kcal/mol,0,0,0,0,0,0,0,0,0,0,0,0
AE18,0.03434423600341805,0.028146454881363095,0.03961661131162225,0.028146454881363095,0.1560401607314829,0.1611828991706897,0.14765870445874021,0.1611828991706897,0.07456248706467541,0.06741174261438926,0.08132715035957974,0.06741174261438926
